Jahr,Art,Bezirk,Deutschland,Schleswig-Holstein,Hamburg,Niedersachsen,Bremen,Nordrhein-Westfalen,Hessen,Rheinland-Pfalz,Baden-Württemberg,Bayern,Saarland,Brandenburg,Mecklenburg-Vorpommern,Sachsen,Sachsen-Anhalt,Thüringen
1994,Fortzug,Reinickendorf,3996,240,106,526,28,411,197,114,261,329,14,1560,85,61,44,20
1994,Fortzug,Spandau,3607,255,80,519,22,397,119,75,194,370,16,1362,51,67,51,29
1994,Fortzug,Steglitz-Zehlendorf,5682,432,188,762,55,637,299,227,436,658,21,1635,100,106,74,52
1994,Fortzug,Tempelhof-Schöneberg,6067,394,228,851,72,725,404,181,659,642,33,1561,74,118,85,40
1994,Fortzug,Treptow-Köpenick,3323,91,62,250,13,236,128,106,230,215,10,1382,165,222,105,108
1994,Zuzug,Charlottenburg-Wilmersdorf,5855,298,288,685,90,1226,555,182,800,710,59,584,103,113,112,50
1994,Zuzug,Friedrichshain-Kreuzberg,5748,216,217,608,81,902,342,167,607,569,42,1072,266,319,219,121
1994,Zuzug,Lichtenberg,4295,126,74,284,19,271,189,54,307,296,7,1259,398,490,301,220
1994,Zuzug,Marzahn-Hellersdorf,3649,99,33,236,21,203,91,27,205,185,18,1372,373,390,244,152
1994,Zuzug,Mitte,6153,303,240,710,78,1051,453,205,719,679,37,901,232,289,173,83
1994,Zuzug,Neukölln,4241,231,154,543,80,651,351,160,515,497,49,651,85,111,117,46
1994,Zuzug,Pankow,5612,135,143,383,53,547,266,128,404,442,28,1490,515,479,329,270
1994,Zuzug,Reinickendorf,2566,165,68,371,17,406,204,72,244,276,21,491,75,68,62,26
1994,Zuzug,Spandau,2960,142,81,393,39,355,131,82,226,230,16,943,86,112,99,25
1994,Zuzug,Steglitz-Zehlendorf,5396,284,213,624,76,999,419,136,730,720,42,818,82,86,118,49
1994,Zuzug,Tempelhof-Schöneberg,5059,288,209,622,66,947,448,169,616,689,51,606,89,98,98,63
1994,Zuzug,Treptow-Köpenick,2738,90,55,194,11,236,101,70,206,178,13,1008,156,220,129,71
1995,Fortzug,Charlottenburg-Wilmersdorf,6294,370,250,816,57,860,418,145,632,756,33,1533,126,153,107,38
1995,Fortzug,Friedrichshain-Kreuzberg,5921,228,174,513,91,679,285,186,455,481,25,2030,178,268,182,146
1995,Fortzug,Lichtenberg,6050,127,72,266,26,322,187,94,252,342,5,3199,306,435,240,177
1995,Fortzug,Marzahn-Hellersdorf,7045,155,63,361,19,317,154,94,284,390,13,3958,307,412,290,228
1995,Fortzug,Mitte,7317,338,183,812,89,823,546,192,633,718,17,2235,190,279,155,107
1995,Fortzug,Neukölln,5364,246,168,669,72,637,269,144,389,600,39,1784,81,137,94,35
1995,Fortzug,Pankow,6098,165,94,310,16,354,226,64,312,354,10,3031,356,404,225,177
1995,Fortzug,Reinickendorf,4543,300,100,581,23,408,223,120,265,428,19,1821,73,101,47,34
1995,Fortzug,Spandau,4200,261,76,405,29,402,159,92,235,400,20,1922,55,76,52,16
1995,Fortzug,Steglitz-Zehlendorf,6104,379,153,723,50,723,293,137,554,678,29,2077,92,110,70,36
1995,Fortzug,Tempelhof-Schöneberg,6357,356,204,818,73,783,349,149,589,762,28,1884,89,124,106,43
1995,Fortzug,Treptow-Köpenick,4017,122,34,191,11,282,128,56,260,231,4,2061,162,242,115,118
1995,Zuzug,Charlottenburg-Wilmersdorf,6270,366,413,741,93,1232,524,193,763,759,50,720,102,148,98,68
1995,Zuzug,Friedrichshain-Kreuzberg,5861,252,225,587,74,935,339,177,640,487,40,1088,329,315,248,125
1995,Zuzug,Lichtenberg,4520,100,77,269,22,332,160,88,292,317,19,1418,332,600,333,161
1995,Zuzug,Marzahn-Hellersdorf,3782,67,36,202,19,222,95,32,175,184,15,1487,372,444,247,185
1995,Zuzug,Mitte,6841,291,239,825,103,1052,444,180,749,679,67,1231,249,361,226,145
1995,Zuzug,Neukölln,4338,219,151,543,64,691,306,120,453,424,35,848,127,150,134,73
1995,Zuzug,Pankow,5993,157,162,418,56,635,309,102,498,411,31,1682,545,477,277,233
1995,Zuzug,Reinickendorf,2848,201,68,340,18,378,183,63,277,249,30,693,139,91,72,46
1995,Zuzug,Spandau,3239,189,75,328,25,402,153,66,256,272,8,1098,136,126,64,41
1995,Zuzug,Steglitz-Zehlendorf,5508,271,203,683,54,965,489,164,628,626,56,907,144,148,105,65
1995,Zuzug,Tempelhof-Schöneberg,5127,281,188,607,71,874,416,170,602,611,26,827,134,145,118,57
1995,Zuzug,Treptow-Köpenick,2765,96,48,202,11,226,82,70,206,189,12,1000,191,202,141,89
1996,Fortzug,Charlottenburg-Wilmersdorf,6605,336,293,725,63,965,404,136,599,782,34,1844,125,153,95,51
1996,Fortzug,Friedrichshain-Kreuzberg,6115,211,183,584,65,743,306,171,460,484,31,2130,230,235,167,115
1996,Fortzug,Lichtenberg,7083,134,73,270,31,419,202,110,240,389,16,3899,287,551,278,184
1996,Fortzug,Marzahn-Hellersdorf,7878,175,92,313,28,286,170,116,233,345,17,4954,354,387,240,168
1996,Fortzug,Mitte,8063,318,210,772,53,871,519,177,611,829,27,2870,194,316,190,106
